Ticker,F1_Score,MDD_Mercado_%,MDD_Agente_%,Riesgo_Reducido
DSI,0.5,-0.49,-0.15,Sí
DSTL,0.0,-0.19,-0.19,Sí
DTD,0.5,-0.64,0.0,Sí
DVY,0.0,-0.71,-0.71,Sí
DWAS,0.5,-1.09,-1.09,Sí
DWAT,0.6429,-1.69,0.0,Sí
DWMC,0.7667,-1.21,0.0,Sí
DXJ,0.5,-1.15,0.0,Sí
DXJS,0.2,-0.25,-0.25,No
ECH,0.5,-0.7,-0.7,Sí
EEMS,0.6667,0.0,0.0,No
EES,0.2,-0.55,-0.55,No
EKAR,0.3,-0.66,-0.66,No
EMCB,0.0,-0.16,-0.16,Sí
EMCR,0.6667,0.0,0.0,No
EMGF,0.3,-0.09,-0.09,Sí
EMHY,0.6667,0.0,0.0,No
EMLP,0.0,-1.31,-1.31,Sí
EMTL,0.3,-0.77,-0.77,Sí
EMXC,0.6667,0.0,0.0,No
ENFR,0.3,-2.18,-2.18,Sí
EPU,0.6667,0.0,0.0,No
EQAL,0.3,-0.3,-0.3,No
EQWL,0.5,-0.42,-0.35,Sí
ESG,0.3,-0.77,-0.77,No
ESGD,0.1,-0.83,0.0,Sí
ESGG,0.5,-0.26,0.0,Sí
ESGS,0.5,-0.99,0.0,Sí
ESGU,0.5,-0.35,-0.27,Sí
ESGV,0.5,-0.14,0.0,Sí
ESPO,0.5,-1.59,-0.17,Sí
etf_sample,0.5,-0.38,-0.09,Sí
ETHO,0.8571,0.0,0.0,No
EUDG,0.3,-1.08,-1.08,No
EUSC,0.7667,-0.09,0.0,Sí
EWC,0.5,-0.6,-0.52,Sí
EWCO,0.3,-1.38,-1.38,Sí
EWD,0.3,-1.69,-1.69,Sí
EWJV,0.3,-1.32,-1.32,No
EWL,0.3,-1.18,-1.18,Sí
EWM,0.5,-0.75,-0.62,Sí
EWRE,0.7667,-0.11,0.0,Sí
EWSC,0.3,-0.74,-0.74,No
EWT,0.7667,-0.74,0.0,Sí
EWW,0.5,-1.07,-1.07,No
EWX,0.6667,0.0,0.0,No
EYLD,0.6667,0.0,0.0,No
EZA,0.6667,0.0,0.0,No
EZM,0.7667,-0.7,0.0,Sí
FAD,0.7667,-0.09,0.0,Sí
FALN,0.5,-0.27,-0.27,No
FBND,0.5,-0.88,-0.88,No
FBZ,0.4,0.0,0.0,No
FCAL,0.3,-0.38,-0.38,Sí
FCEF,0.5,-0.05,0.0,Sí
FCOM,0.3,-0.68,-0.68,No
FDHY,0.2,-0.21,-0.21,Sí
FDIS,0.5,-1.34,0.0,Sí
FDM,0.5,-0.57,-0.57,Sí
FDRR,0.2,-0.22,-0.06,Sí
FDVV,0.5,-0.57,0.0,Sí
FEMS,0.6667,0.0,0.0,No
FENY,0.2,-3.72,-3.72,Sí
FFHG,0.7667,-0.43,0.0,Sí
FFSG,0.7667,-0.38,0.0,Sí
FGD,0.6667,0.0,0.0,No
FHLC,0.5,-0.25,0.0,Sí
FILL,0.5,-3.11,-3.11,Sí
FIVG,0.5,-0.7,-0.14,Sí
FIW,0.7667,-0.7,0.0,Sí
FIXD,0.5,-1.01,-1.01,No
FLBL,0.6667,0.0,0.0,No
FLEH,0.0,-0.14,-0.14,No
FLIA,0.0,-0.38,-0.38,No
FLJH,0.5,-0.98,-0.98,Sí
FLLA,0.0,0.0,0.0,No
FLMI,0.3,-0.7,-0.7,No
FLN,0.6667,0.0,0.0,No
FLOT,0.0,-0.08,-0.08,Sí
FLQM,0.3,-0.56,-0.56,No
FLRN,0.5,0.0,0.0,No
FLTR,0.0,-0.08,-0.08,Sí
FLTW,1.0,-0.78,0.0,Sí
